epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
1964/65,1965-09-26,D,D1,R3,Benfica,(F),FC Porto,2-0,90,0,156,180
1964/65,1965-10-03,V,D1,R4,Benfica,(C),Varzim,1-0,90,1,157,181
1964/65,1965-10-05,V,UCL,1R,Benfica,(C),Stade Dudelange,10-0,90,4,158,185
1964/65,1965-10-17,D,D1,R6,Benfica,(C),Sporting,2-4,90,1,159,186
1964/65,1965-10-31,E,ECM,4,Portugal,(C),Tchecoslováquia,0-0,90,0,160,186
1964/65,1965-11-10,E,UCL,2R,Benfica,(F),Levski Sofia,2-2,90,2,161,188
1964/65,1965-11-14,E,D1,R7,Benfica,(F),Beira-Mar,1-1,90,0,162,188
1964/65,1965-11-21,D,ECM,4,Portugal,(F),Romênia,2-0,90,0,163,188
1964/65,1965-12-05,V,D1,R9,Benfica,(F),Leixões,0-1,90,0,164,188
1964/65,1965-12-08,V,UCL,2R,Benfica,(C),Levski Sofia,3-2,90,1,165,189
1964/65,1965-12-12,V,D1,R10,Benfica,(C),Vitória SC,4-2,90,2,166,191
1964/65,1965-12-19,V,D1,R11,Benfica,(C),SC Braga,4-1,90,2,167,193
1964/65,1965-12-26,E,D1,R12,Benfica,(F),Vitória FC,4-4,90,1,168,194
1964/65,1966-01-02,V,D1,R13,Benfica,(C),Belenenses,2-0,90,0,169,194
1964/65,1966-01-09,V,D1,R14,Benfica,(C),Académica OAF,4-0,90,1,170,195
1964/65,1966-01-23,V,D1,R16,Benfica,(C),FC Porto,3-1,90,2,171,197
1964/65,1966-01-30,E,D1,R17,Benfica,(F),Varzim,1-1,90,1,172,198
1964/65,1966-02-02,D,UCL,QF,Benfica,(F),Manchester United,3-2,90,0,173,198
1964/65,1966-02-07,V,D1,R18,Benfica,(C),Lusitano GC,1-0,90,1,174,199
1964/65,1966-02-13,V,D1,R19,Benfica,(F),Sporting,0-2,90,1,175,200
1964/65,1966-02-20,V,D1,R20,Benfica,(C),Beira-Mar,5-0,90,3,176,203
1964/65,1966-02-27,V,D1,R21,Benfica,(F),Barreirense,1-7,90,1,177,204
1964/65,1966-03-05,V,D1,R22,Benfica,(C),Leixões,2-0,90,0,178,204
1964/65,1966-03-09,D,UCL,QF,Benfica,(C),Manchester United,1-5,90,0,179,204
1964/65,1966-03-20,V,TP,1/8,Benfica,(C),Portimonense,5-1,90,3,180,207
1964/65,1966-03-28,D,D1,R23,Benfica,(F),Vitória SC,3-2,90,1,181,208
1964/65,1966-04-03,E,D1,R24,Benfica,(F),SC Braga,0-0,90,0,182,208
1964/65,1966-04-17,V,TP,QF,Benfica,(C),SC Braga,3-1,90,2,183,210
1964/65,1966-04-24,V,D1,R25,Benfica,(C),Vitória FC,3-2,90,1,184,211
1964/65,1966-05-01,V,D1,R26,Benfica,(F),Belenenses,1-3,90,1,185,212
1964/65,1966-06-12,V,AMI,JA,Portugal,(C),Noruega,4-0,90,2,186,214
1964/65,1966-06-18,V,AMI,JA,Portugal,(F),Escócia,0-1,90,0,187,214
1964/65,1966-06-21,V,AMI,JA,Portugal,(F),Dinamarca,1-3,90,1,188,215
1964/65,1966-06-26,V,AMI,JA,Portugal,(C),Uruguai,3-0,90,0,189,215
1964/65,1966-07-03,V,AMI,JA,Portugal,(C),Romênia,1-0,90,0,190,215
1964/65,1966-07-13,V,CM,3,Portugal,(N),Hungria,3-1,90,0,191,215
1964/65,1966-07-16,V,CM,3,Portugal,(N),Bulgária,3-0,90,1,192,216
1964/65,1966-07-19,V,CM,3,Portugal,(N),Brasil,3-1,90,2,193,218
1964/65,1966-07-23,V,CM,QF,Portugal,(N),Coreia do Norte,5-3,90,4,194,222
1964/65,1966-07-26,D,CM,SF,Portugal,(N),Inglaterra,2-1,90,1,195,223
1964/65,1966-07-28,V,CM,3/4,Portugal,(N),União Soviética,2-1,90,1,196,224
1965/66,1966-09-18,V,D1,R1,Benfica,(F),Vitória SC,0-1,90,1,197,225
1965/66,1966-09-25,V,D1,R2,Benfica,(C),Leixões,3-1,90,2,198,227
1965/66,1966-10-02,E,D1,R3,Benfica,(F),Varzim,0-0,90,0,199,227
1965/66,1966-10-09,V,D1,R4,Benfica,(C),Sporting,3-0,90,2,200,229
1965/66,1966-10-16,V,D1,R5,Benfica,(F),Atlético CP,1-2,90,2,201,231
1965/66,1966-10-23,V,D1,R6,Benfica,(C),Académica OAF,2-1,90,0,202,231
1965/66,1966-10-26,E,FC,2E,Benfica,(F),Spartak Plovdiv,1-1,90,1,203,232
1966/67,1966-11-13,D,EE,2,Portugal,(C),Suécia,1-2,90,0,204,232
1965/66,1966-11-20,D,D1,R7,Benfica,(F),SC Braga,4-0,90,0,205,232
1965/66,1966-11-22,V,FC,2E,Benfica,(C),Spartak Plovdiv,3-0,90,1,206,233
1965/66,1966-11-27,V,D1,R8,Benfica,(C),FC Porto,3-0,90,2,207,235
1965/66,1966-12-04,V,D1,R9,Benfica,(F),AD Sanjoanense,1-3,90,2,208,237
1965/66,1966-12-11,V,D1,R10,Benfica,(C),Fabril Barreiro,3-0,90,2,209,239
1965/66,1966-12-18,V,D1,R11,Benfica,(C),Vitória FC,1-0,90,0,210,239
1965/66,1966-12-21,D,FC,1/8,Benfica,(F),VfB Leipzig (1991),3-1,90,0,211,239
1965/66,1967-01-01,D,D1,R12,Benfica,(F),Belenenses,2-1,90,0,212,239
1965/66,1967-01-08,V,D1,R13,Benfica,(C),Beira-Mar,2-0,90,1,213,240
1965/66,1967-01-15,V,TP,1/16,Benfica,(F),Lusitano GC,1-3,90,1,214,241
1965/66,1967-01-18,V,TP,1/16,Benfica,(C),Lusitano GC,8-0,90,5,215,246
1965/66,1967-02-06,V,D1,R14,Benfica,(C),Vitória SC,7-0,90,0,216,246
1965/66,1967-02-12,V,D1,R15,Benfica,(F),Leixões,1-2,90,0,217,246
1965/66,1967-02-19,V,D1,R16,Benfica,(C),Varzim,6-2,90,3,218,249
1965/66,1967-02-26,E,D1,R17,Benfica,(F),Sporting,1-1,90,1,219,250
1965/66,1967-03-03,V,D1,R18,Benfica,(C),Atlético CP,2-0,90,1,220,251
1965/66,1967-03-07,V,FC,1/8,Benfica,(C),VfB Leipzig (1991),2-1,90,2,221,253
1965/66,1967-03-12,V,D1,R19,Benfica,(F),Académica OAF,0-1,90,0,222,253
1965/66,1967-03-19,V,D1,R20,Benfica,(C),SC Braga,4-0,90,4,223,257
1965/66,1967-03-27,E,AMI,JA,Portugal,(F),Itália,1-1,90,1,224,258
1965/66,1967-04-02,E,D1,R21,Benfica,(F),FC Porto,1-1,90,0,225,258
1965/66,1967-04-09,V,D1,R22,Benfica,(C),AD Sanjoanense,1-0,90,1,226,259
1965/66,1967-04-16,V,D1,R23,Benfica,(F),Fabril Barreiro,1-2,90,1,227,260
1965/66,1967-04-23,D,D1,R24,Benfica,(F),Vitória FC,3-2,90,2,228,262
1965/66,1967-04-30,V,D1,R25,Benfica,(C),Belenenses,2-0,90,1,229,263
1965/66,1967-05-07,V,D1,R26,Benfica,(F),Beira-Mar,0-9,90,3,230,266
1966/67,1967-06-01,E,EE,2,Portugal,(F),Suécia,1-1,90,0,231,266
1966/67,1967-06-08,V,EE,2,Portugal,(F),Noruega,1-2,90,2,232,268
1965/66,1967-06-18,V,TP,QF,Benfica,(C),Académica OAF,2-1,90,1,233,269
1966/67,1967-09-09,V,D1,R1,Benfica,(C),Vitória SC,2-1,90,1,234,270
1966/67,1967-09-13,E,UCL,1R,Benfica,(F),Glentoran,1-1,90,1,235,271
1966/67,1967-09-17,V,D1,R2,Benfica,(F),Barreirense,0-3,90,2,236,273
1966/67,1967-09-24,V,D1,R3,Benfica,(F),SC Braga,0-1,90,0,237,273
1966/67,1967-09-30,V,D1,R4,Benfica,(C),Vitória FC,2-1,90,1,238,274
1966/67,1967-10-04,E,UCL,1R,Benfica,(C),Glentoran,0-0,90,0,239,274
1966/67,1967-10-22,E,D1,R5,Benfica,(F),Belenenses,0-0,90,0,240,274
1966/67,1967-10-29,V,D1,R6,Benfica,(C),Leixões,6-0,90,1,241,275
1966/67,1967-11-05,E,D1,R7,Benfica,(F),Tirsense,0-0,90,0,242,275
1966/67,1967-11-12,V,EE,2,Portugal,(C),Noruega,2-1,90,0,243,275
1966/67,1967-11-16,V,UCL,2R,Benfica,(C),Saint-Étienne,2-0,90,1,244,276
1966/67,1967-11-26,D,EE,2,Portugal,(F),Bulgária,1-0,90,0,245,276
1966/67,1967-11-30,D,UCL,2R,Benfica,(F),Saint-Étienne,1-0,90,0,246,276
1966/67,1967-12-05,V,D1,R8,Benfica,(C),Fabril Barreiro,3-1,90,1,247,277
1966/67,1967-12-10,V,D1,R9,Benfica,(F),AD Sanjoanense,1-4,90,4,248,281
1966/67,1967-12-17,E,EE,2,Portugal,(C),Bulgária,0-0,90,0,249,281
1966/67,1967-12-24,V,D1,R10,Benfica,(C),Académica OAF,3-1,90,1,250,282
1966/67,1967-12-31,D,D1,R11,Benfica,(F),Sporting,3-1,90,0,251,282
1966/67,1968-01-07,V,D1,R12,Benfica,(C),FC Porto,3-2,90,1,252,283
1966/67,1968-01-14,E,D1,R13,Benfica,(F),Varzim,1-1,90,1,253,284
1966/67,1968-02-04,V,D1,R14,Benfica,(F),Vitória SC,0-4,90,3,254,287
1966/67,1968-02-11,V,D1,R15,Benfica,(C),Barreirense,8-2,90,4,255,291
1966/67,1968-02-19,V,D1,R16,Benfica,(C),SC Braga,3-0,90,2,256,293
1966/67,1968-02-25,D,D1,R17,Benfica,(F),Vitória FC,2-0,90,0,257,293
1966/67,1968-03-03,V,D1,R18,Benfica,(C),Belenenses,7-0,90,4,258,297
1966/67,1968-03-06,E,UCL,QF,Benfica,(F),Vasas SC,0-0,90,0,259,297
1966/67,1968-03-10,V,D1,R19,Benfica,(F),Leixões,0-2,90,2,260,299
1966/67,1968-03-14,V,UCL,QF,Benfica,(C),Vasas SC,3-0,90,2,261,301
1966/67,1968-03-24,V,TP,1/8,Benfica,(F),AD Sanjoanense,1-2,90,1,262,302
1966/67,1968-03-31,V,D1,R20,Benfica,(C),Tirsense,5-0,90,3,263,305
