epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
2006/07,2007-02-25,V,SA,R25,Milan,(C),Sampdoria,1-0,73,0,531,376
2006/07,2007-02-28,E,SA,R26,Milan,(F),Palermo,0-0,19,0,532,376
2006/07,2007-03-03,V,SA,R27,Milan,(C),Chievo,3-1,88,0,533,376
2006/07,2007-03-11,D,SA,R28,Milan,(F),Internazionale,2-1,90,1,534,377
2006/07,2007-03-18,V,SA,R29,Milan,(C),Atalanta,1-0,81,0,535,377
2006/07,2007-03-31,E,SA,R30,Milan,(F),Roma,1-1,79,0,536,377
2006/07,2007-04-07,V,SA,R31,Milan,(C),Empoli,3-1,87,1,537,378
2006/07,2007-04-15,V,SA,R32,Milan,(F),Messina,1-3,90,1,538,379
2006/07,2007-04-18,V,SA,R22,Milan,(F),Ascoli,2-5,67,0,539,379
2006/07,2007-04-21,V,SA,R33,Milan,(C),Cagliari,3-1,90,2,540,381
2006/07,2007-04-28,V,SA,R34,Milan,(F),Torino,0-1,90,0,541,381
2006/07,2007-05-27,D,SA,R38,Milan,(F),Reggina,2-0,90,0,542,381
2007/08,2007-11-25,V,SA,R13,Milan,(F),Cagliari,1-2,90,0,543,381
2007/08,2008-01-13,V,SA,R18,Milan,(C),Napoli,5-2,69,2,544,383
2007/08,2008-01-20,V,SA,R19,Milan,(F),Udinese,0-1,83,0,545,383
2007/08,2008-01-23,D,SA,R12,Milan,(F),Atalanta,2-1,26,0,546,383
2007/08,2008-02-10,V,SA,R22,Milan,(C),ACN Siena,1-0,45,0,547,383
2007/08,2008-02-13,E,SA,R16,Milan,(C),Livorno 1915,1-1,6,0,548,383
2009,2009-03-04,V,CB,1F,Corinthians,(F),Itumbiara,0-2,23,0,549,383
2009,2009-03-08,E,SP1,R12,Corinthians,(F),Palmeiras,1-1,27,1,550,384
2009,2009-03-11,V,SP1,R13,Corinthians,(C),São Caetano,2-1,76,1,551,385
2009,2009-03-22,V,SP1,R15,Corinthians,(C),Santos,1-0,82,0,552,385
2009,2009-03-25,E,SP1,R16,Corinthians,(C),Ponte Preta,2-2,90,2,553,387
2009,2009-03-28,E,SP1,R17,Corinthians,(F),Guarani,0-0,90,0,554,387
2009,2009-03-31,V,SP1,R18,Corinthians,(C),Ituano,3-0,90,1,555,388
2009,2009-04-12,V,SP1,SF,Corinthians,(C),São Paulo,2-1,90,0,556,388
2009,2009-04-19,V,SP1,SF,Corinthians,(F),São Paulo,0-2,72,1,557,389
2009,2009-04-26,V,SP1,F,Corinthians,(F),Santos,1-3,90,2,558,391
2009,2009-04-29,D,CB,1/8,Corinthians,(F),Athletico Paranaense,3-2,45,0,559,391
2009,2009-05-03,E,SP1,F,Corinthians,(C),Santos,1-1,90,0,560,391
2009,2009-05-06,V,CB,1/8,Corinthians,(C),Athletico Paranaense,2-0,90,2,561,393
2009,2009-05-13,V,CB,QF,Corinthians,(C),Fluminense,1-0,90,0,562,393
2009,2009-05-17,E,D1,R2,Corinthians,(F),Botafogo,0-0,72,0,563,393
2009,2009-05-20,E,CB,QF,Corinthians,(F),Fluminense,2-2,87,0,564,393
2009,2009-06-03,E,CB,SF,Corinthians,(C),Vasco,0-0,90,0,565,393
2009,2009-06-14,E,D1,R6,Corinthians,(F),Goiás,0-0,72,0,566,393
2009,2009-06-17,V,CB,F,Corinthians,(C),Internacional,2-0,90,1,567,394
2009,2009-06-21,V,D1,R7,Corinthians,(C),São Paulo,3-1,90,0,568,394
2009,2009-07-01,E,CB,F,Corinthians,(F),Internacional,2-2,90,0,569,394
2009,2009-07-08,V,D1,R9,Corinthians,(C),Fluminense,4-2,88,3,570,397
2009,2009-07-12,D,D1,R10,Corinthians,(F),Grêmio,3-0,90,0,571,397
2009,2009-07-16,V,D1,R11,Corinthians,(C),Sport,4-3,90,2,572,399
2009,2009-07-19,V,D1,R12,Corinthians,(F),Cruzeiro,1-2,90,1,573,400
2009,2009-07-23,V,D1,R13,Corinthians,(C),Vitória,2-1,90,0,574,400
2009,2009-07-26,D,D1,R14,Corinthians,(C),Palmeiras,0-3,23,0,575,400
2009,2009-09-20,D,D1,R25,Corinthians,(C),Goiás,1-4,90,0,576,400
2009,2009-09-27,E,D1,R26,Corinthians,(F),São Paulo,1-1,77,1,577,401
2009,2009-10-03,D,D1,R27,Corinthians,(C),Athletico Paranaense,1-3,90,0,578,401
2009,2009-10-10,V,D1,R29,Corinthians,(C),Grêmio,2-1,90,1,579,402
2009,2009-10-25,D,D1,R31,Corinthians,(C),Cruzeiro,0-1,90,0,580,402
2009,2009-10-28,V,D1,R32,Corinthians,(F),Vitória,0-1,90,0,581,402
2009,2009-11-01,E,D1,R33,Corinthians,(F),Palmeiras,2-2,90,2,582,404
2009,2009-11-08,V,D1,R34,Corinthians,(C),Santo André,2-0,90,1,583,405
2009,2009-11-15,D,D1,R35,Corinthians,(F),Avaí,3-1,90,0,584,405
2009,2009-11-21,D,D1,R36,Corinthians,(C),Náutico,2-3,90,1,585,406
2009,2009-11-29,D,D1,R37,Corinthians,(C),Flamengo,0-2,25,0,586,406
2010,2010-01-20,V,SP1,R2,Corinthians,(C),Red Bull Bragantino,2-1,90,0,587,406
2010,2010-01-27,E,SP1,R4,Corinthians,(C),Mirassol,1-1,68,1,588,407
2010,2010-02-24,V,CL,1,Corinthians,(C),Racing,2-1,90,0,589,407
2010,2010-02-28,D,SP1,R11,Corinthians,(F),Santos,2-1,90,0,590,407
2010,2010-03-04,E,SP1,R12,Corinthians,(C),Botafogo-SP,1-1,90,0,591,407
2010,2010-03-10,E,CL,1,Corinthians,(F),Independiente Medellín,1-1,74,0,592,407
2010,2010-03-14,V,SP1,R14,Corinthians,(C),Santo André,2-1,90,0,593,407
2010,2010-03-17,V,CL,1,Corinthians,(F),Cerro Porteño,0-1,83,1,594,408
2010,2010-03-24,D,SP1,R16,Corinthians,(C),Paulista,0-1,90,0,595,408
2010,2010-03-28,V,SP1,R17,Corinthians,(C),São Paulo,4-3,87,0,596,408
2010,2010-04-01,V,CL,1,Corinthians,(C),Cerro Porteño,2-1,87,1,597,409
2010,2010-04-04,V,SP1,R18,Corinthians,(F),Ituano,0-2,90,1,598,410
2010,2010-04-07,V,SP1,R19,Corinthians,(C),Rio Claro,5-1,90,1,599,411
2010,2010-04-14,V,CL,1,Corinthians,(F),Racing,0-2,70,0,600,411
2010,2010-04-28,D,CL,1/8,Corinthians,(F),Flamengo,1-0,83,0,601,411
2010,2010-05-05,V,CL,1/8,Corinthians,(C),Flamengo,2-1,90,1,602,412
2010,2010-05-09,V,D1,R1,Corinthians,(C),Athletico Paranaense,2-1,90,1,603,413
2010,2010-08-29,V,D1,R17,Corinthians,(C),Vitória,2-1,62,0,604,413
2010,2010-09-08,E,D1,R20,Corinthians,(F),Athletico Paranaense,1-1,45,1,605,414
2010,2010-10-17,E,D1,R30,Corinthians,(F),Guarani,0-0,90,0,606,414
2010,2010-10-24,V,D1,R31,Corinthians,(C),Palmeiras,1-0,90,0,607,414
2010,2010-10-27,E,D1,R32,Corinthians,(F),Flamengo,1-1,90,1,608,415
2010,2010-11-03,V,D1,R33,Corinthians,(C),Avaí,4-0,90,2,609,417
2010,2010-11-07,V,D1,R34,Corinthians,(F),São Paulo,0-2,90,0,610,417
2010,2010-11-13,V,D1,R35,Corinthians,(C),Cruzeiro,1-0,90,1,611,418
2010,2010-11-21,E,D1,R36,Corinthians,(F),Vitória,1-1,29,0,612,418
2010,2010-12-05,E,D1,R38,Corinthians,(F),Goiás,1-1,90,0,613,418
