epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
1988/89,1989-11-26,V,D1,R15,PSV,(C),Fortuna Sittard,2-0,90,2,163,143
1988/89,1989-12-03,D,D1,R16,PSV,(F),Feyenoord,4-0,90,0,164,143
1988/89,1989-12-09,V,KNVB,2R,PSV,(C),Veendam,3-0,90,1,165,144
1988/89,1989-12-17,V,D1,R17,PSV,(C),Haarlem,4-0,90,3,166,147
1988,1989-12-19,V,AMI,JA,Brasil,(F),Holanda,0-1,58,0,167,147
1988/89,1989-12-24,V,D1,R19,PSV,(C),FC Groningen,2-0,90,1,168,148
1988/89,1990-01-21,E,D1,R18,PSV,(F),Den Bosch,1-1,90,0,169,148
1988/89,1990-01-28,V,D1,R20,PSV,(C),Willem II,2-1,90,0,170,148
1988/89,1990-02-04,D,D1,R21,PSV,(F),Roda,3-1,90,1,171,149
1988/89,1990-02-11,V,D1,R22,PSV,(C),NEC,6-0,90,2,172,151
1988/89,1990-02-14,V,KNVB,QF,PSV,(C),FC Emmen,4-0,90,1,173,152
1988/89,1990-02-18,D,D1,R23,PSV,(F),Ajax,3-2,90,0,174,152
1988/89,1990-02-25,E,D1,R2,PSV,(F),FC Groningen,0-0,75,0,175,152
1988/89,1990-03-04,V,D1,R24,PSV,(C),ADO Den Haag,9-2,65,2,176,154
1988/89,1990-06-20,V,CM,C,Brasil,(N),Escócia,1-0,65,0,177,154
1989/90,1990-08-29,V,D1,R1,PSV,(C),FC Utrecht,5-0,89,2,178,156
1989/90,1990-09-02,E,D1,R2,PSV,(F),NEC,1-1,45,0,179,156
1989/90,1990-09-16,E,D1,R4,PSV,(F),Feyenoord,1-1,90,0,180,156
1989/90,1990-09-19,D,TT,1R,PSV,(F),Montpellier,1-0,90,0,181,156
1989/90,1990-09-23,V,D1,R5,PSV,(F),Heerenveen,0-3,90,2,182,158
1989/90,1990-09-30,V,D1,R6,PSV,(C),ADO Den Haag,4-0,90,1,183,159
1989/90,1990-10-03,E,TT,1R,PSV,(C),Montpellier,0-0,90,0,184,159
1989/90,1990-10-21,V,D1,R8,PSV,(C),RKC Waalwijk,3-1,37,1,185,160
1989/90,1990-11-11,V,D1,R11,PSV,(F),SVV,0-1,62,0,186,160
1989/90,1991-01-20,E,D1,R16,PSV,(C),FC Groningen,1-1,29,0,187,160
1989/90,1991-01-23,V,KNVB,1/8,PSV,(C),FC Wageningen,8-1,90,4,188,164
1989/90,1991-01-27,V,D1,R17,PSV,(F),FC Volendam,0-2,90,1,189,165
1989/90,1991-02-03,E,D1,R18,PSV,(F),FC Utrecht,1-1,90,0,190,165
1989/90,1991-02-27,V,KNVB,QF,PSV,(F),Willem II,2-3 (a.p.),120,1,191,166
1989/90,1991-03-03,V,D1,R21,PSV,(C),Feyenoord,6-0,90,4,192,170
1989/90,1991-03-07,V,D1,R25,PSV,(F),RKC Waalwijk,0-3,90,1,193,171
1989/90,1991-03-24,V,D1,R24,PSV,(C),Roda,3-0,90,0,194,171
1989/90,1991-03-27,V,D1,R22,PSV,(C),Heerenveen,2-0,90,1,195,172
1989/90,1991-04-01,D,D1,R23,PSV,(F),ADO Den Haag,3-0,90,0,196,172
1989/90,1991-04-07,V,D1,R26,PSV,(C),Ajax,4-1,90,2,197,174
1989/90,1991-04-21,D,D1,R27,PSV,(F),Sparta Rotterdam,1-0,45,0,198,174
1989/90,1991-05-01,V,D1,R19,PSV,(C),NEC,1-0,90,1,199,175
1989/90,1991-05-05,E,D1,R29,PSV,(F),Vitesse,1-1,90,1,200,176
1989/90,1991-05-09,E,D1,R20,PSV,(F),MVV,3-3,90,3,201,179
1989/90,1991-05-12,V,D1,R30,PSV,(C),Willem II,3-0,90,1,202,180
1989/90,1991-05-20,V,D1,R31,PSV,(F),Fortuna Sittard,0-3,90,2,203,182
1989/90,1991-05-26,V,D1,R32,PSV,(C),FC Twente,3-1,90,1,204,183
1989/90,1991-06-09,D,D1,R33,PSV,(F),FC Groningen,4-1,90,1,205,184
1989/90,1991-06-16,V,D1,R34,PSV,(C),FC Volendam,3-0,90,0,206,184
1990/91,1991-08-12,D,ST,F,PSV,(N),Feyenoord,1-0,71,0,207,184
1990/91,1991-08-18,V,D1,R1,PSV,(C),FC Utrecht,2-1,52,0,208,184
1990/91,1991-10-02,V,UCL,1R,PSV,(C),Besiktas,2-1,70,0,209,184
1990/91,1991-10-20,V,D1,R5,PSV,(C),Ajax,3-2,90,1,210,185
1990/91,1991-10-23,E,UCL,2R,PSV,(C),Anderlecht,0-0,38,0,211,185
1990/91,1992-01-12,V,D1,R21,PSV,(C),Sparta Rotterdam,4-1,90,2,212,187
1990/91,1992-01-19,D,D1,R22,PSV,(F),Ajax,1-0,90,0,213,187
1990/91,1992-01-26,V,D1,R23,PSV,(C),ADO Den Haag,2-1,82,2,214,189
1990/91,1992-02-09,D,KNVB,1/8,PSV,(F),Ajax,2-1 (a.p.),120,0,215,189
1990/91,1992-02-19,V,D1,R8,PSV,(F),VVV-Venlo,0-2,90,0,216,189
1990/91,1992-02-23,V,D1,R26,PSV,(F),FC Dordrecht,1-2,90,0,217,189
1990/91,1992-03-08,V,D1,R27,PSV,(C),Vitesse,2-0,90,1,218,190
1990/91,1992-03-15,V,D1,R28,PSV,(F),FC Volendam,0-3,90,1,219,191
1990/91,1992-03-29,V,D1,R29,PSV,(C),Feyenoord,2-1,90,1,220,192
1990/91,1992-04-05,E,D1,R30,PSV,(F),MVV,1-1,90,0,221,192
1990/91,1992-04-12,V,D1,R31,PSV,(C),Willem II,3-0,90,0,222,192
1990/91,1992-04-18,V,D1,R32,PSV,(C),RKC Waalwijk,5-0,90,1,223,193
1990/91,1992-05-03,V,D1,R34,PSV,(C),De Graafschap,5-0,90,0,224,193
1991/92,1992-08-07,V,ST,F,PSV,(N),Feyenoord,1-0,90,0,225,193
1991/92,1992-08-16,V,D1,R1,PSV,(C),Roda,2-0,90,0,226,193
1990/91,1992-08-26,V,AMI,JA,Brasil,(F),França,0-2,64,0,227,193
1991/92,1992-09-27,V,D1,R6,PSV,(F),MVV,1-5,90,3,228,196
1991/92,1992-09-30,V,QUCL,1E,PSV,(F),FK Zalgiris,0-2,86,1,229,197
1991/92,1992-10-04,E,D1,R7,PSV,(C),Feyenoord,1-1,90,1,230,198
1991/92,1992-10-07,V,D1,R2,PSV,(F),RKC Waalwijk,0-3,90,2,231,200
1991/92,1992-10-18,E,D1,R8,PSV,(F),Willem II,1-1,45,0,232,200
1991/92,1992-10-21,D,QUCL,2E,PSV,(F),AEK,1-0,73,0,233,200
1991/92,1992-10-25,V,D1,R9,PSV,(C),FC Groningen,3-0,90,1,234,201
1991/92,1992-10-28,V,KNVB,3R,PSV,(F),FC Volendam,2-4,90,3,235,204
1991/92,1992-11-01,V,D1,R10,PSV,(F),FC Twente,1-2,90,0,236,204
1991/92,1992-11-04,V,QUCL,2E,PSV,(C),AEK,3-0,90,3,237,207
1991/92,1992-11-25,E,UCL,B,PSV,(F),FC Porto,2-2,90,2,238,209
1991/92,1992-11-29,V,D1,R14,PSV,(F),Go Ahead Eagles,0-3,90,2,239,211
1991/92,1992-12-09,D,UCL,B,PSV,(C),Milan,1-2,90,1,240,212
1990/91,1992-12-15,V,AMI,JA,Brasil,(C),Alemanha,3-1,23,0,241,212
1991/92,1992-12-20,V,D1,R16,PSV,(C),Vitesse,1-0,90,0,242,212
1991/92,1993-01-17,D,D1,R17,PSV,(F),FC Volendam,3-1,90,1,243,213
1991/92,1993-01-31,D,D1,R19,PSV,(C),RKC Waalwijk,0-3,90,0,244,213
1991/92,1993-02-03,V,D1,R15,PSV,(C),Sparta Rotterdam,3-1,90,0,245,213
1991/92,1993-02-14,V,D1,R21,PSV,(C),Ajax,2-1,87,0,246,213
1991/92,1993-02-28,E,D1,R22,PSV,(F),Den Bosch,2-2,90,1,247,214
1991/92,1993-03-03,D,UCL,B,PSV,(C),IFK Goteborg,1-3,90,0,248,214
1991/92,1993-03-07,V,D1,R23,PSV,(C),MVV,2-1,90,2,249,216
1991/92,1993-03-14,E,D1,R24,PSV,(F),Feyenoord,1-1,88,1,250,217
1991/92,1993-03-17,D,UCL,B,PSV,(F),IFK Goteborg,3-0,90,0,251,217
1991/92,1993-03-21,E,D1,R25,PSV,(C),Willem II,1-1,90,0,252,217
1991/92,1993-04-04,V,D1,R27,PSV,(C),FC Twente,6-2,90,3,253,220
1991/92,1993-04-07,D,UCL,B,PSV,(C),FC Porto,0-1,90,0,254,220
1991/92,1993-04-14,V,D1,R28,PSV,(F),Fortuna Sittard,1-5,90,1,255,221
1991/92,1993-04-18,V,D1,R29,PSV,(C),FC Utrecht,3-1,90,2,256,223
1991/92,1993-04-21,D,UCL,B,PSV,(F),Milan,2-0,90,0,257,223
1991/92,1993-05-09,V,D1,R31,PSV,(C),Go Ahead Eagles,2-0,90,0,258,223
1991/92,1993-05-11,D,D1,R18,PSV,(F),Roda,2-0,90,0,259,223
1991/92,1993-05-16,V,D1,R32,PSV,(F),Sparta Rotterdam,2-5,90,2,260,225
1991/92,1993-05-19,E,D1,R30,PSV,(F),FC Dordrecht,2-2,45,0,261,225
