epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
2016/17,2017-06-09,D,ECM,A,França,(F),Suécia,2-1,14,0,69,34
2016/17,2017-06-13,V,AMI,JA,França,(C),Inglaterra,3-2,90,0,70,34
2017/18,2017-07-29,D,TC,F,Monaco,(N),PSG,1-2,71,0,71,34
2017/18,2017-08-04,V,D1,R1,Monaco,(C),Toulouse,3-2,75,0,72,34
2016/17,2017-08-31,V,ECM,A,França,(C),Holanda,4-0,15,1,73,35
2016/17,2017-09-03,E,ECM,A,França,(C),Luxemburgo,0-0,59,0,74,35
2017/18,2017-09-08,V,D1,R5,PSG,(F),Metz,1-5,90,1,75,36
2017/18,2017-09-12,V,UCL,B,PSG,(F),Celtic,0-5,84,1,76,37
2017/18,2017-09-17,V,D1,R6,PSG,(C),Lyon,2-0,90,0,77,37
2017/18,2017-09-23,E,D1,R7,PSG,(F),Montpellier,0-0,90,0,78,37
2017/18,2017-09-27,V,UCL,B,PSG,(C),Bayern München,3-0,79,0,79,37
2017/18,2017-09-30,V,D1,R8,PSG,(C),Bordeaux,6-2,90,1,80,38
2016/17,2017-10-07,V,ECM,A,França,(F),Bulgária,0-1,85,0,81,38
2016/17,2017-10-10,V,ECM,A,França,(C),Bielorrússia,2-1,29,0,82,38
2017/18,2017-10-14,V,D1,R9,PSG,(F),Dijon,1-2,90,0,83,38
2017/18,2017-10-18,V,UCL,B,PSG,(F),Anderlecht,0-4,90,1,84,39
2017/18,2017-10-22,E,D1,R10,PSG,(F),Marseille,2-2,80,0,85,39
2017/18,2017-10-27,V,D1,R11,PSG,(C),Nice,3-0,80,0,86,39
2017/18,2017-10-31,V,UCL,B,PSG,(C),Anderlecht,5-0,64,0,87,39
2017/18,2017-11-04,V,D1,R12,PSG,(F),Angers,0-5,90,2,88,41
2016/17,2017-11-10,V,AMI,JA,França,(C),País de Gales,2-0,84,0,89,41
2016/17,2017-11-14,E,AMI,JA,França,(F),Alemanha,2-2,90,0,90,41
2017/18,2017-11-22,V,UCL,B,PSG,(C),Celtic,7-1,76,1,91,42
2017/18,2017-11-26,V,D1,R14,PSG,(F),Monaco,1-2,90,0,92,42
2017/18,2017-11-29,V,D1,R15,PSG,(C),Troyes,2-0,20,0,93,42
2017/18,2017-12-02,D,D1,R16,PSG,(F),Strasbourg,2-1,90,1,94,43
2017/18,2017-12-05,D,UCL,B,PSG,(F),Bayern München,3-1,90,1,95,44
2017/18,2017-12-09,V,D1,R17,PSG,(C),Lille,3-1,90,1,96,45
2017/18,2017-12-13,V,CL,1/8,PSG,(F),Strasbourg,2-4,11,0,97,45
2017/18,2017-12-16,V,D1,R18,PSG,(F),Rennes,1-4,90,1,98,46
2017/18,2017-12-20,V,D1,R19,PSG,(C),Caen,3-1,90,1,99,47
2017/18,2018-01-07,V,CF,1/32,PSG,(F),Rennes,1-6,90,2,100,49
2017/18,2018-01-10,V,CL,QF,PSG,(F),Amiens SC,0-2,90,0,101,49
2017/18,2018-01-14,V,D1,R20,PSG,(F),Nantes,0-1,90,0,102,49
2017/18,2018-01-17,V,D1,R21,PSG,(C),Dijon,8-0,22,1,103,50
2017/18,2018-01-21,D,D1,R22,PSG,(F),Lyon,2-1,36,0,104,50
2017/18,2018-01-30,V,CL,SF,PSG,(F),Rennes,2-3,63,0,105,50
2017/18,2018-02-06,V,CF,1/8,PSG,(F),Sochaux,1-4,90,0,106,50
2017/18,2018-02-10,V,D1,R25,PSG,(F),Toulouse,0-1,90,0,107,50
2017/18,2018-02-14,D,UCL,1/8,PSG,(F),Real Madrid,3-1,90,0,108,50
2017/18,2018-02-25,V,D1,R27,PSG,(C),Marseille,3-0,61,1,109,51
